uuid,datetime_recorded,med_start_time,med_prob,msc_start_time,msc_stop_time,med_stop_time
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,0.64,0.7788,0.0,19.2,19.84
55cb4efb7cdf33532641047d,2024-05-21 15:53:40.074084,33.92,0.8164,19.2,37.120000000000005,51.84
